Server,Keyword,Search Time,Execution Time,Total Time,Rows Fetched
srv03938.soton.ac.uk,crohns,16400,26362,26407,625
srv03939.soton.ac.uk,crohns,17631,26362,26407,625
srv03940.soton.ac.uk,crohns,18940,26362,26407,625
srv03941.soton.ac.uk,crohns,24779,26362,26407,625
srv03942.soton.ac.uk,crohns,17759,26362,26407,625
srv03943.soton.ac.uk,crohns,17832,26362,26407,625
srv03944.soton.ac.uk,crohns,19354,26362,26407,625
srv03945.soton.ac.uk,crohns,19703,26362,26407,625
srv03946.soton.ac.uk,crohns,16040,26362,26407,625
srv03947.soton.ac.uk,crohns,18998,26362,26407,625
srv03948.soton.ac.uk,crohns,19459,26362,26407,625
srv03949.soton.ac.uk,crohns,16916,26362,26407,625
srv03950.soton.ac.uk,crohns,19000,26362,26407,625
srv03951.soton.ac.uk,crohns,16073,26362,26407,625
srv03952.soton.ac.uk,crohns,19032,26362,26407,625
srv03953.soton.ac.uk,crohns,17957,26362,26407,625
srv03954.soton.ac.uk,crohns,17393,26362,26407,625
srv03955.soton.ac.uk,crohns,17603,26362,26407,625
srv03812.soton.ac.uk,crohns,8299,24527,24590,625
srv03813.soton.ac.uk,crohns,18541,24527,24590,625
srv03814.soton.ac.uk,crohns,18000,24527,24590,625
srv03815.soton.ac.uk,crohns,18791,24527,24590,625
srv03816.soton.ac.uk,crohns,24451,24527,24590,625
srv03911.soton.ac.uk,crohns,17414,24527,24590,625
srv03912.soton.ac.uk,crohns,19968,24527,24590,625
srv03913.soton.ac.uk,crohns,19688,24527,24590,625
